,zcta,state,fips,quintile,decile
0,10001,NY,36061,5,10
1,10002,NY,36061,5,9
2,10003,NY,36061,5,10
3,10004,NY,36061,5,9
4,10005,NY,36061,5,9
5,10006,NY,36061,5,9
6,10007,NY,36061,5,9
7,10009,NY,36061,5,10
8,10010,NY,36061,5,10
9,10011,NY,36061,5,10
10,10012,NY,36061,5,9
11,10013,NY,36061,5,9
12,10014,NY,36061,5,10
13,10016,NY,36061,5,10
14,10017,NY,36061,5,10
15,10018,NY,36061,5,9
16,10019,NY,36061,5,10
17,10020,NY,36061,5,10
18,10021,NY,36061,5,10
19,10022,NY,36061,5,10
20,10023,NY,36061,5,10
21,10024,NY,36061,5,10
22,10025,NY,36061,5,10
23,10026,NY,36061,5,10
24,10027,NY,36061,5,10
25,10028,NY,36061,5,10
26,10029,NY,36061,5,10
27,10030,NY,36061,5,10
28,10031,NY,36061,5,10
29,10032,NY,36061,5,10
30,10033,NY,36061,5,10
31,10034,NY,36061,5,10
32,10035,NY,36061,5,10
33,10036,NY,36061,5,10
34,10037,NY,36061,5,10
35,10038,NY,36061,5,9
36,10039,NY,36061,5,10
37,10040,NY,36061,5,10
38,10044,NY,36061,5,10
39,10065,NY,36061,5,10
40,10069,NY,36061,5,10
41,10075,NY,36061,5,10
42,10103,NY,36061,NA,NA
43,10110,NY,36061,NA,NA
44,10111,NY,36061,NA,NA
45,10112,NY,36061,NA,NA
46,10115,NY,36061,NA,NA
47,10119,NY,36061,NA,NA
48,10128,NY,36061,5,10
49,10152,NY,36061,NA,NA
50,10153,NY,36061,NA,NA
51,10154,NY,36061,NA,NA
52,10162,NY,36061,5,10
53,10165,NY,36061,NA,NA
54,10167,NY,36061,NA,NA
55,10168,NY,36061,NA,NA
56,10169,NY,36061,NA,NA
57,10170,NY,36061,5,10
58,10171,NY,36061,NA,NA
59,10172,NY,36061,NA,NA
60,10173,NY,36061,NA,NA
61,10174,NY,36061,NA,NA
62,10177,NY,36061,NA,NA
63,10199,NY,36061,NA,NA
64,10271,NY,36061,NA,NA
65,10278,NY,36061,NA,NA
66,10279,NY,36061,NA,NA
67,10280,NY,36061,5,9
68,10282,NY,36061,5,9
69,10301,NY,36085,5,9
70,10302,NY,36085,5,9
71,10303,NY,36085,4,8
72,10304,NY,36085,5,9
73,10305,NY,36085,5,9
74,10306,NY,36085,4,8
75,10307,NY,36085,3,6
76,10308,NY,36085,4,7
77,10309,NY,36085,4,7
78,10310,NY,36085,5,9
79,10311,NY,36085,NA,NA
80,10312,NY,36085,4,7
81,10314,NY,36085,4,8
82,10451,NY,36005,5,10
83,10452,NY,36005,5,10
84,10453,NY,36005,5,10
85,10454,NY,36005,5,10
86,10455,NY,36005,5,10
87,10456,NY,36005,5,10
88,10457,NY,36005,5,10
89,10458,NY,36005,5,10
90,10459,NY,36005,5,10
91,10460,NY,36005,5,10
92,10461,NY,36005,5,10
93,10462,NY,36005,5,10
94,10463,NY,36005,5,10
95,10464,NY,36005,5,10
96,10465,NY,36005,5,10
97,10466,NY,36005,5,10
98,10467,NY,36005,5,10
99,10468,NY,36005,5,10
100,10469,NY,36005,5,10
101,10470,NY,36005,5,10
102,10471,NY,36005,5,10
103,10472,NY,36005,5,10
104,10473,NY,36005,5,10
105,10474,NY,36005,5,10
106,10475,NY,36005,5,9
107,10501,NY,36119,5,10
108,10502,NY,36119,5,10
109,10503,NY,36119,NA,NA
110,10504,NY,36119,5,10
111,10505,NY,36119,5,10
112,10506,NY,36119,5,10
113,10507,NY,36119,5,10
114,10509,NY,36079,5,10
115,10510,NY,36119,5,10
116,10511,NY,36119,5,9
117,10512,NY,36079,5,10
118,10514,NY,36119,5,10
119,10516,NY,36079,3,6
120,10517,NY,36119,5,9
121,10518,NY,36119,5,10
122,10520,NY,36119,5,9
123,10522,NY,36119,5,10
124,10523,NY,36119,5,10
125,10524,NY,36079,3,6
126,10526,NY,36119,5,10
127,10527,NY,36119,5,10
128,10528,NY,36119,5,10
129,10530,NY,36119,5,10
130,10532,NY,36119,5,10
131,10533,NY,36119,5,10
132,10535,NY,36119,5,9
133,10536,NY,36119,5,10
134,10537,NY,36079,3,6
135,10538,NY,36119,5,10
136,10541,NY,36079,5,10
137,10543,NY,36119,5,10
138,10545,NY,36119,NA,NA
139,10546,NY,36119,5,10
140,10547,NY,36119,4,8
141,10548,NY,36119,4,8
142,10549,NY,36119,5,10
143,10550,NY,36119,5,10
144,10552,NY,36119,5,10
145,10553,NY,36119,5,10
146,10560,NY,36119,5,10
147,10562,NY,36119,5,10
148,10566,NY,36119,5,9
149,10567,NY,36119,5,9
150,10570,NY,36119,5,10
151,10573,NY,36119,5,10
152,10576,NY,36119,5,10
153,10577,NY,36119,5,10
154,10578,NY,36119,5,10
155,10579,NY,36079,3,6
156,10580,NY,36119,5,10
157,10583,NY,36119,5,10
158,10588,NY,36079,4,8
159,10589,NY,36119,5,10
160,10590,NY,36119,5,10
161,10591,NY,36119,5,10
162,10594,NY,36119,5,10
163,10595,NY,36119,5,10
164,10596,NY,36119,4,8
165,10597,NY,36119,5,10
166,10598,NY,36119,5,10
167,10601,NY,36119,5,10
168,10603,NY,36119,5,10
169,10604,NY,36119,5,10
170,10605,NY,36119,5,10
171,10606,NY,36119,5,10
172,10607,NY,36119,5,10
173,10701,NY,36119,5,10
174,10703,NY,36119,5,10
175,10704,NY,36119,5,10
176,10705,NY,36119,5,10
177,10706,NY,36119,5,10
178,10707,NY,36119,5,10
179,10708,NY,36119,5,10
180,10709,NY,36119,5,10
181,10710,NY,36119,5,10
182,10801,NY,36119,5,10
183,10803,NY,36119,5,10
184,10804,NY,36119,5,10
185,10805,NY,36119,5,10
186,10901,NY,36087,5,10
187,10910,NY,36071,2,4
188,10911,NY,36071,4,7
189,10913,NY,36087,5,9
190,10914,NY,36071,2,3
191,10915,NY,36071,3,6
192,10916,NY,36071,2,4
193,10917,NY,36071,2,3
194,10918,NY,36071,3,5
195,10919,NY,36071,4,7
196,10920,NY,36087,5,10
197,10921,NY,36071,3,5
198,10922,NY,36071,4,7
199,10923,NY,36087,5,9
200,10924,NY,36071,4,7
201,10925,NY,36071,1,2
202,10926,NY,36071,1,2
203,10927,NY,36087,5,9
204,10928,NY,36071,4,8
205,10930,NY,36071,2,4
206,10931,NY,36087,5,10
207,10932,NY,36071,5,9
208,10933,NY,36071,5,9
209,10940,NY,36071,5,9
210,10941,NY,36071,4,7
211,10950,NY,36071,2,3
212,10952,NY,36087,5,10
213,10953,NY,36071,3,5
214,10954,NY,36087,5,10
215,10956,NY,36087,5,10
216,10958,NY,36071,5,9
217,10960,NY,36087,5,9
218,10962,NY,36087,5,9
219,10963,NY,36071,5,9
220,10964,NY,36087,5,9
221,10965,NY,36087,5,9
222,10968,NY,36087,5,9
223,10969,NY,36071,2,3
224,10970,NY,36087,5,10
225,10973,NY,36071,5,9
226,10974,NY,36087,5,9
227,10975,NY,36071,2,4
228,10976,NY,36087,5,9
229,10977,NY,36087,5,10
230,10979,NY,36071,NA,NA
231,10980,NY,36087,4,8
232,10983,NY,36087,5,9
233,10984,NY,36087,4,8
234,10985,NY,36071,3,6
235,10986,NY,36087,4,7
236,10987,NY,36071,2,4
237,10988,NY,36071,5,9
238,10989,NY,36087,5,9
239,10990,NY,36071,1,2
240,10992,NY,36071,2,3
241,10993,NY,36087,5,9
242,10994,NY,36087,5,9
243,10996,NY,36071,4,8
244,10998,NY,36071,5,9
245,11001,NY,36059,5,10
246,11003,NY,36059,5,9
247,11004,NY,36081,5,10
248,11005,NY,36081,5,10
249,11010,NY,36059,5,9
250,11020,NY,36059,5,10
251,11021,NY,36059,5,10
252,11023,NY,36059,5,10
253,11024,NY,36059,5,9
254,11030,NY,36059,5,10
255,11040,NY,36059,5,10
256,11042,NY,36059,NA,NA
257,11050,NY,36059,5,10
258,11096,NY,36059,4,8
259,11101,NY,36081,5,10
260,11102,NY,36081,5,9
261,11103,NY,36081,5,9
262,11104,NY,36081,5,9
263,11105,NY,36081,5,9
264,11106,NY,36081,5,9
265,11109,NY,36081,5,10
266,11201,NY,36047,5,9
267,11203,NY,36047,4,8
268,11204,NY,36047,4,8
269,11205,NY,36047,5,9
270,11206,NY,36047,5,9
271,11207,NY,36047,4,7
272,11208,NY,36047,3,6
273,11209,NY,36047,5,9
274,11210,NY,36047,4,8
275,11211,NY,36047,5,9
276,11212,NY,36047,4,8
277,11213,NY,36047,4,8
278,11214,NY,36047,4,8
279,11215,NY,36047,4,8
280,11216,NY,36047,4,8
281,11217,NY,36047,5,9
282,11218,NY,36047,5,9
283,11219,NY,36047,5,9
284,11220,NY,36047,5,9
285,11221,NY,36047,4,8
286,11222,NY,36047,5,9
287,11223,NY,36047,4,7
288,11224,NY,36047,3,6
289,11225,NY,36047,4,8
290,11226,NY,36047,5,9
291,11228,NY,36047,5,9
292,11229,NY,36047,4,7
293,11230,NY,36047,4,8
294,11231,NY,36047,4,8
295,11232,NY,36047,4,8
296,11233,NY,36047,4,8
297,11234,NY,36047,4,7
298,11235,NY,36047,4,7
299,11236,NY,36047,3,6
300,11237,NY,36047,4,8
301,11238,NY,36047,5,9
302,11239,NY,36047,2,4
303,11351,NY,36081,NA,NA
304,11354,NY,36081,5,9
305,11355,NY,36081,5,9
306,11356,NY,36081,5,9
307,11357,NY,36081,5,10
308,11358,NY,36081,5,9
309,11359,NY,36081,NA,NA
310,11360,NY,36081,5,10
311,11361,NY,36081,5,10
312,11362,NY,36081,5,10
313,11363,NY,36081,5,10
314,11364,NY,36081,5,10
315,11365,NY,36081,5,9
316,11366,NY,36081,5,9
317,11367,NY,36081,5,9
318,11368,NY,36081,5,9
319,11369,NY,36081,5,9
320,11370,NY,36005,5,9
321,11371,NY,36081,5,9
322,11372,NY,36081,5,9
323,11373,NY,36081,5,9
324,11374,NY,36081,5,9
325,11375,NY,36081,5,9
326,11377,NY,36081,5,9
327,11378,NY,36081,5,9
328,11379,NY,36081,5,9
329,11385,NY,36081,4,8
330,11411,NY,36081,4,8
331,11412,NY,36081,4,8
332,11413,NY,36081,4,8
333,11414,NY,36081,4,8
334,11415,NY,36081,5,9
335,11416,NY,36081,4,7
336,11417,NY,36081,4,7
337,11418,NY,36081,4,8
338,11419,NY,36081,4,8
339,11420,NY,36081,4,8
340,11421,NY,36081,4,7
